,string,mean,max,min,median,geo_mean,count,n_over_2e-06,ratio_over_2e-06,n_over_4e-06,ratio_over_4e-06,n_over_6e-06,ratio_over_6e-06,n_over_8e-06,ratio_over_8e-06,n_over_9.999999999999999e-06,ratio_over_9.999999999999999e-06,n_over_1.1999999999999999e-05,ratio_over_1.1999999999999999e-05,n_over_1.4e-05,ratio_over_1.4e-05,n_over_1.6e-05,ratio_over_1.6e-05,n_over_1.8e-05,ratio_over_1.8e-05,n_over_2e-05,ratio_over_2e-05
16,/,1.6452291164402302e-05,0.0003595482266973704,-6.906753272604982e-13,6.581069101230241e-06,,40228,24481,0.6085562294918961,21090,0.5242617082629014,17410,0.4327831361240927,14477,0.3598737197971562,12370,0.3074972655861589,10731,0.266754499353684,9471,0.23543303171920055,8456,0.2102018494580889,7661,0.19043949487918863,7026,0.17465446952371483
1618, list,3.729325631689477e-06,0.00010568619472905993,3.92587958669699e-12,2.3700869178355788e-06,7.141460116643235e-07,2011,1044,0.5191447041272998,561,0.27896568871208355,313,0.15564395822973645,180,0.08950770760815514,131,0.06514172053704624,84,0.0417702635504724,63,0.0313276976628543,44,0.02187966185977126,33,0.016409746394828444,28,0.0139234211834908
689, over,8.517635911447843e-06,0.0004329134535510093,2.4710656632009886e-08,5.8356565659778425e-06,5.8144728404797905e-06,7515,5801,0.7719228210246174,4354,0.5793745841650033,3120,0.4151696606786427,2254,0.29993346640053226,1604,0.2134397870924817,1199,0.15954757152361942,898,0.11949434464404524,700,0.09314703925482369,546,0.07265469061876248,442,0.058815701929474384
369, was,6.203695404200296e-06,0.0002819432702381164,1.162948315425183e-08,4.475566584005719e-06,4.617109186364767e-06,26309,19180,0.7290280892470258,12011,0.4565357862328481,6640,0.2523851153597628,3830,0.14557755901022465,2323,0.0882967805693869,1548,0.05883918050857121,1060,0.04029039492188985,788,0.029951727545706793,601,0.02284389372458094,496,0.018852864038922043
3164, probably,6.992886621126296e-06,0.00016589045117143542,2.6947910214403237e-07,5.7561451285437215e-06,5.913605510350191e-06,943,797,0.8451749734888653,645,0.6839872746553552,373,0.3955461293743372,200,0.21208907741251326,109,0.11558854718981973,63,0.06680805938494168,33,0.03499469777306469,19,0.02014846235418876,12,0.012725344644750796,9,0.009544008483563097
581, one,6.920036155984391e-06,9.014516399474815e-05,1.5603125458341083e-09,5.251524726190837e-06,3.8775113945925565e-06,13365,9139,0.6838009726898616,7156,0.5354283576505798,5117,0.3828656939768051,3532,0.26427235316124204,2395,0.17919940142162363,1661,0.1242798353909465,1219,0.09120838009726899,911,0.06816311260755706,680,0.0508791619902731,526,0.03935652824541713
574, had,4.956092098426229e-06,8.702556078787893e-05,1.3102948059895425e-07,3.7691218039981322e-06,3.922794575096737e-06,7612,5377,0.7063846558066211,2936,0.3857067787703626,1604,0.21071991592222805,868,0.11403047819232791,526,0.06910141881240148,310,0.04072517078297425,194,0.025486074619022595,133,0.0174724119810825,94,0.01234892275354703,67,0.008801891749868628
2454, face,7.755289739691882e-06,0.00028028429369442165,1.9707037779426173e-08,4.945728278471506e-06,4.410455411500008e-06,1209,896,0.7411083540115798,646,0.5343258891645989,404,0.33416046319272125,253,0.20926385442514475,171,0.141439205955335,122,0.10090984284532671,88,0.07278742762613731,64,0.05293631100082713,51,0.04218362282878412,43,0.03556658395368073
271, an,7.907029726275617e-06,0.00021289789583534002,4.226896610504127e-11,6.186038262967486e-06,4.39874608355838e-06,22512,16960,0.7533759772565742,14622,0.6495202558635395,9549,0.42417377398720685,5746,0.2552416488983653,3641,0.1617359630419332,2441,0.10843105899076048,1768,0.07853589196872779,1293,0.05743603411513859,980,0.043532338308457715,790,0.035092395167022034
2934, idea,3.7199550026226497e-06,2.3890670490800403e-05,6.147922615440393e-09,2.920123506555683e-06,2.853672426417368e-06,1093,731,0.6688014638609332,334,0.30558096980786825,156,0.14272644098810613,75,0.0686184812442818,40,0.036596523330283626,25,0.022872827081427266,15,0.013723696248856358,9,0.008234217749313814,4,0.0036596523330283625,3,0.0027447392497712718
2238, kind,5.016858196976167e-06,7.88342222222127e-05,4.87052487230244e-09,1.4331012607726734e-06,1.4228024840067626e-06,1108,476,0.4296028880866426,341,0.30776173285198555,267,0.24097472924187727,203,0.1832129963898917,156,0.1407942238267148,121,0.1092057761732852,94,0.08483754512635379,81,0.07310469314079422,66,0.05956678700361011,54,0.048736462093862815
2165, game,6.431385745246767e-06,6.123903585830703e-05,1.4065967057774742e-08,5.069603957963409e-06,5.181071430116926e-06,3102,2556,0.8239845261121856,1786,0.5757575757575758,1075,0.3465506125080593,659,0.21244358478401032,402,0.12959381044487428,258,0.08317214700193423,155,0.04996776273372018,101,0.032559638942617666,76,0.024500322372662798,58,0.018697614442295292
3078, wanted,1.8901849050262236e-06,2.2554746465175413e-05,6.576989619588858e-08,1.2541162277557305e-06,1.2561502058264458e-06,1031,289,0.28031037827352084,96,0.09311348205625607,44,0.04267701260911736,21,0.020368574199806012,12,0.011639185257032008,9,0.008729388942774006,5,0.004849660523763337,4,0.0038797284190106693,3,0.002909796314258002,2,0.0019398642095053346
10572,About,6.30171629432829e-06,4.5035078073851764e-05,9.764818287294474e-07,5.114427040098235e-06,5.216545777615722e-06,923,671,0.7269772481040087,444,0.4810400866738895,321,0.3477789815817985,271,0.29360780065005415,24,0.02600216684723727,14,0.015167930660888408,8,0.00866738894907909,7,0.007583965330444204,7,0.007583965330444204,5,0.005417118093174431
322, S,1.5559151491598598e-05,0.00030855683144181967,1.3952629052127463e-09,9.67001824392355e-06,8.221703098165589e-06,6289,4669,0.7424073779615201,4148,0.6595643186516139,3647,0.5799014151693433,3055,0.4857688026713309,2514,0.39974558753378914,2115,0.33630147877245986,1793,0.2851009699475274,1522,0.24200985848306567,1304,0.20734615996183814,1128,0.17936078867864524
401, F,1.9018560741239842e-05,0.00016962835798040032,3.0849680587863304e-09,1.1711661500157788e-05,9.886573152441792e-06,4841,3657,0.7554224333815327,3393,0.7008882462301177,3091,0.6385044412311506,2704,0.5585622805205536,2330,0.4813055153893824,1991,0.4112786614335881,1701,0.3513736831233216,1455,0.30055773600495767,1279,0.26420161123734764,1146,0.2367279487709151
1336,ters,6.981433867871637e-06,0.00010145157284568995,4.4612743721472725e-08,4.039730129079544e-06,4.043930050929557e-06,776,542,0.6984536082474226,327,0.4213917525773196,179,0.23067010309278352,114,0.14690721649484537,79,0.1018041237113402,62,0.07989690721649484,52,0.06701030927835051,44,0.05670103092783505,41,0.05283505154639175,32,0.041237113402061855
1909,As,5.726619750449768e-06,0.0001550886081531644,2.2691430956456315e-07,3.841409579763422e-06,3.9474168848852735e-06,2162,1546,0.7150786308973173,807,0.3732654949121184,286,0.1322849213691027,177,0.0818686401480111,128,0.05920444033302498,86,0.039777983348751156,71,0.03283996299722479,64,0.02960222016651249,59,0.0272895467160037,54,0.02497687326549491
2021, family,7.588556710928083e-06,0.00022054668806958944,1.1486177697861422e-07,6.175824864840251e-06,5.963301569861913e-06,2527,2070,0.8191531460229521,1648,0.6521567075583696,1144,0.4527107241788682,756,0.29916897506925205,476,0.1883656509695291,311,0.12307083498219232,193,0.07637514839730906,126,0.04986149584487535,87,0.03442817570241393,65,0.025722200237435693
2136, business,9.38128614025502e-06,9.958058217307553e-05,1.0049530985156707e-08,7.548695521109039e-06,7.222622735773e-06,2923,2421,0.8282586383852206,2116,0.7239137872049265,1623,0.5552514539856312,1163,0.3978788915497776,791,0.27061238453643516,527,0.18029421826890182,365,0.12487170715018817,266,0.09100239479986315,198,0.06773862470065002,151,0.05165925419089976
359, we,6.5898418123158896e-06,0.00021757936337962747,2.639331952991597e-08,4.621802190740709e-06,4.917523911993344e-06,15270,12582,0.8239685658153242,8008,0.5244269810085134,4505,0.29502292075965947,2721,0.1781925343811395,1783,0.11676489849377865,1263,0.08271119842829076,924,0.06051080550098232,723,0.04734774066797642,562,0.036804191224623445,467,0.030582842174197773
871, know,4.346258303361644e-06,5.173445606487803e-05,3.676231585814094e-08,3.5504112929629628e-06,3.569322193897497e-06,4809,3803,0.7908088999792057,1937,0.4027864420877521,896,0.18631732168850074,456,0.09482220835932627,225,0.046787273861509666,123,0.025577043044291953,63,0.013100436681222707,41,0.008525681014763984,28,0.005822416302765648,18,0.0037429819089207735
